UO CADASTRADORA,12106,TRF - 5a. Regi�o
UO DEVEDORA,20201,INCRA
2019,02346248520184050000,LICENCAPREMIO LICENCASAFASTAMENTOS SERVIDOR PUBLICO CIVIL,149.027
2019,02347027920184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO SERVIDOR PUBLICO CIVIL,175.990
2019,02347061920184050000,AGREGACAO SISTEMA REMUNERATORIO E BENEFICIOS SERVIDOR PUBLICO,134.808
2019,02347373920184050000,AGREGACAO SISTEMA REMUNERATORIO E BENEFICIOS SERVIDOR PUBLICO,134.808
2019,02302900820184050000,AGREGACAO SISTEMA REMUNERATORIO E BENEFICIOS SERVIDOR PUBLICO,58.506
2019,02347503820184050000,SISTEMA REMUNERATORIO E BENEFICIOS SERVIDOR PUBLICO CIVIL,530
2019,02346196320184050000,OBRIGACAO DE FAZERNAO FAZER LIQUIDACAOCUMPRIMENTOEXECUCAO,98.482
2019,02348413120184050000,FUNDEFFUNDO DE MANUTENCAO E DESENVOLVIMENTO DO ENSINO FUNDAMENTAL,152.738
2019,02362261420184050000,INDENIZACAO POR DANO MORAL RESPONSABILIDADE DA ADMINISTRACAO,70.496
2019,02362703320184050000,ADICIONAL DE HORAS EXTRAS SISTEMA REMUNERATORIO E BENEFICIOS,132.754
2019,02362711820184050000,ADICIONAL DE HORAS EXTRAS SISTEMA REMUNERATORIO E BENEFICIOS,192.057
2019,02362720320184050000,ADICIONAL DE HORAS EXTRAS SISTEMA REMUNERATORIO E BENEFICIOS,181.099
2019,02362738520184050000,ADICIONAL DE HORAS EXTRAS SISTEMA REMUNERATORIO E BENEFICIOS,78.659
2019,02362747020184050000,ADICIONAL DE HORAS EXTRAS SISTEMA REMUNERATORIO E BENEFICIOS,281.198
2019,02347382420184050000,CONCURSO DE CREDORES LIQUIDACAOCUMPRIMENTOEXECUCAO DIREITO,64.424
2019,02339570220184050000,CONCESSAO PENSAO SERVIDOR PUBLICO MILITAR ADMINISTRATIVO,60.712
2019,02312653020184050000,INCIDENCIA SOBRE PDV IRPFIMPOSTO DE RENDA DE PESSOA FISICA IMPOSTOS,17.177
2019,02312661520184050000,INCIDENCIA SOBRE PDV IRPFIMPOSTO DE RENDA DE PESSOA FISICA IMPOSTOS,10.054
2019,02329281420184050000,CAUSAS SUPERVENIENTES A SENTENCA LIQUIDACAOCUMPRIMENTOEXECUCAO,201.411
2019,02330814720184050000,SISTEMA REMUNERATORIO E BENEFICIOS SERVIDOR PUBLICO CIVIL,210.549
2019,02334409420184050000,SUCUMBENCIA PARTES E PROCURADORES DIREITO PROCESSUAL CIVIL E DO,132.109
2019,02336219520184050000,REFISPROGRAMA DE RECUPERACAO FISCAL REGIMES ESPECIAIS DE TRIBUTACAO,226.975
2019,02336228020184050000,SISTEMA REMUNERATORIO E BENEFICIOS SERVIDOR PUBLICO CIVIL,108.685
2019,02346213320184050000,EXCLUSAO RECEITAS PROVENIENTES DE EXPORTACAO BASE DE CALCULO,542.444
2019,02339561720184050000,GRATIFICACAO DE INCENTIVO SISTEMA REMUNERATORIO E BENEFICIOS,4.908
2019,02346204820184050000,EXCLUSAO RECEITAS PROVENIENTES DE EXPORTACAO BASE DE CALCULO,95.725
2019,02339588420184050000,CONCESSAO PENSAO SERVIDOR PUBLICO MILITAR ADMINISTRATIVO,3.601
2019,02341181220184050000,REAJUSTE DA LEI 82701991) REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO,863.163
2019,02341493220184050000,ISONOMIAEQUIVALENCIA SALARIAL SISTEMA REMUNERATORIO E BENEFICIOS,196.787
2019,02346152620184050000,ANULACAO DE DEBITO FISCAL CREDITO TRIBUTARIO TRIBUTARIO,141.754
2019,02346179320184050000,ADIDOS AGREGADOS E ADJUNTOS REGIME SERVIDOR PUBLICO MILITAR,80.799
2019,02346187820184050000,TAXA DE COLETA DE LIXO MUNICIPAIS TAXAS TRIBUTARIO,59.963
2019,02566637620184050000,INDICE DE 2886% LEI 86221993 E 86271993 REAJUSTE DE REMUNERACAO PROVENTOS,146.431
2019,02336262020184050000,GRATIFICACAO DE ATIVIDADE SISTEMA REMUNERATORIO E BENEFICIOS,112.739
2019,03222556720184050000,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,89.813
2019,03811072120174050000,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,38.551
2019,03218390220184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,121.126
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03952848720174050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,64.554
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03955628820174050000,GRATIFICACAO DE INCENTIVO  SISTEMA REMUNERATORIO E BENEFICIOS,68.879
"",,SERVIDOR  PUBLICO CIVIL  ADMINISTRATIVO,
2019,03985057820174050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,171.875
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,04045015720174050000,GRATIFICACAO DE INCENTIVO  SISTEMA REMUNERATORIO E BENEFICIOS,48.567
"",,SERVIDOR  PUBLICO CIVIL  ADMINISTRATIVO,
2019,04057487320174050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,852.409
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,02083274120184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,03113327920184050000,SUCUMBENCIA  PARTES E PROCURADORES  DIREITO PROCESSUAL CIVIL E DO,241.267
"",,TRABALHO,
2019,03811063620174050000,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,38.551
2019,03216900620184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,237.409
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03207634020184050000,SUCUMBENCIA  PARTES E PROCURADORES  DIREITO PROCESSUAL CIVIL E DO,92.546
"",,TRABALHO,
2019,03211574720184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,214.258
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03211591720184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,214.258
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03211912220184050000,SISTEMA REMUNERATORIO E BENEFICIOS  SERVIDOR  PUBLICO CIVIL,25.697
"",,ADMINISTRATIVO,
2019,03213653120184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,242.007
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03213661620184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,242.007
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03215177920184050000,LICENCAPREMIO  LICENCASAFASTAMENTOS  SERVIDOR PUBLICO CIVIL,169.669
"",,ADMINISTRATIVO,
2019,03220218520184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,123.756
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03216858120184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,363.456
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03218503120184050000,CAUSAS SUPERVENIENTES A SENTENCA  LIQUIDACAOCUMPRIMENTOEXECUCAO,477.444
"",,DIREITO PROCESSUAL CIVIL E DO TRABALHO,
2019,03216979520184050000,SUCUMBENCIA  PARTES E PROCURADORES  DIREITO PROCESSUAL CIVIL E DO,380.949
"",,TRABALHO,
2019,03217317020184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,351.170
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03217325520184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,351.170
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03217602320184050000,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,57.237
"",,SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
2019,03217610820184050000,GRATIFICACAO DE ATIVIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,57.237
"",,SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
2019,03217758920184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,68.193
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03218278520184050000,SUCUMBENCIA  PARTES E PROCURADORES  DIREITO PROCESSUAL CIVIL E DO,28.043
"",,TRABALHO,
2019,03207625520184050000,DESAPROPRIACAO  INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,1.010.634
2019,03216139420184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,237.409
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,02153962720184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,9.961
"",,CIVIL E DO TRABALHO,
2019,02154040420184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,29.221
"",,CIVIL E DO TRABALHO,
2019,02083351820184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,9.719
"",,CIVIL E DO TRABALHO,
2019,02083360320184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,4.860
"",,CIVIL E DO TRABALHO,
2019,02083378520184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,4.860
"",,CIVIL E DO TRABALHO,
2019,02153910520184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,9.961
"",,CIVIL E DO TRABALHO,
2019,02153928720184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,4.980
"",,CIVIL E DO TRABALHO,
2019,02153937220184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,4.980
"",,CIVIL E DO TRABALHO,
2019,02083334820184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,13.970
"",,CIVIL E DO TRABALHO,
2019,02153954220184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,4.980
"",,CIVIL E DO TRABALHO,
2019,02083326320184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,6.985
"",,CIVIL E DO TRABALHO,
2019,02153971220184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,9.961
2019,02153989420184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,9.719
"",,CIVIL E DO TRABALHO,
2019,02153997920184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,58.441
"",,CIVIL E DO TRABALHO,
2019,02154006420184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,29.221
"",,CIVIL E DO TRABALHO,
2019,02154014920184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,17.617
"",,CIVIL E DO TRABALHO,
2019,02154023420184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,6.985
"",,CIVIL E DO TRABALHO,
2019,02154031920184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,6.985
"",,CIVIL E DO TRABALHO,
2019,02153945720184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,4.980
"",,CIVIL E DO TRABALHO,
2019,02083221920184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,03112877520184050000,SUCUMBENCIA  PARTES E PROCURADORES  DIREITO PROCESSUAL CIVIL E DO,65.970
"",,TRABALHO,
2019,02083291120184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,6.985
"",,CIVIL E DO TRABALHO,
2019,02080148020184050000,PRECATORIO  LIQUIDACAOCUMPRIMENTOEXECUCAO  DIREITO PROCESSUAL CIVIL,84.883
"",,E DO TRABALHO,
2019,02083144220184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083152720184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083161220184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083187920184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083343320184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,191.252
"",,CIVIL E DO TRABALHO,
2019,02083213420184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083196420184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083230420184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083248620184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083257120184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083265620184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,02083282620184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,15.846
"",,CIVIL E DO TRABALHO,
2019,02083309320184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,6.985
"",,CIVIL E DO TRABALHO,
2019,02083317820184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,6.985
"",,CIVIL E DO TRABALHO,
2019,02083204920184050000,REPRESENTACAO EM JUIZO  PARTES E PROCURADORES  DIREITO PROCESSUAL,3.888
"",,CIVIL E DO TRABALHO,
2019,03112869020184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,87.188
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03086115720184050000,INDICE DE 2886% LEI 86221993 E 86271993  REAJUSTE DE REMUNERACAO PROVENTOS,105.282
"",,OU PENSAO  SERVIDOR PUBLICO CIVIL  ADMINISTRATIVO,
2019,03098578820184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,3.562.781
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03098587320184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,3.562.781
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03098604320184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,3.562.781
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,02164555020184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,198.157
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03098621320184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,3.562.781
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03098639520184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,3.562.781
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03086107220184050000,CAUSAS SUPERVENIENTES A SENTENCA  LIQUIDACAOCUMPRIMENTOEXECUCAO,1.451.008
"",,DIREITO PROCESSUAL CIVIL E DO TRABALHO,
2019,03112799820184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,87.188
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03098595820184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,3.562.781
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03112808320184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,87.188
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03112816820184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,87.188
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03112825320184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,87.188
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03112833820184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,87.188
"",,INTERVENCAO DO ESTADO NA PROPRIEDADE  ADMINISTRATIVO,
2019,03112842320184050000,DESAPROPRIACAO POR INTERESSE SOCIAL PARA REFORMA AGRARIA,87.188
UO DEVEDORA,24204,CNEN
UO DEVEDORA,25201,Banco Central do Brasil
UO DEVEDORA,25208,SUSEP
UO DEVEDORA,26231,UFAL
UO DEVEDORA,26233,UFCE
2019,03221490820184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,74.977
"",,ADMINISTRATIVO,
2019,03221482320184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,79.563
"",,ADMINISTRATIVO,
2019,03221473820184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,74.121
"",,ADMINISTRATIVO,
2019,03221465320184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,74.046
"",,ADMINISTRATIVO,
2019,03221456820184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,69.527
"",,ADMINISTRATIVO,
2019,03221543020184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,76.802
"",,ADMINISTRATIVO,
2019,03221509020184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,78.146
"",,ADMINISTRATIVO,
2019,03221439820184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,73.980
"",,ADMINISTRATIVO,
2019,03221421620184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,76.690
"",,ADMINISTRATIVO,
2019,03221413120184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,61.646
"",,ADMINISTRATIVO,
2019,03221404620184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,61.767
"",,ADMINISTRATIVO,
2019,03221335420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,63.911
"",,ADMINISTRATIVO,
2019,03221387620184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,60.217
"",,ADMINISTRATIVO,
2019,03221360920184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,74.818
"",,ADMINISTRATIVO,
2019,03221352420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,64.350
"",,ADMINISTRATIVO,
2019,03221343920184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,60.560
"",,ADMINISTRATIVO,
2019,03221551520184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,77.266
"",,ADMINISTRATIVO,
2019,03221750620184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,63.078
"",,ADMINISTRATIVO,
2019,03221326920184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,63.100
"",,ADMINISTRATIVO,
2019,03221396120184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,75.024
"",,ADMINISTRATIVO,
2019,03221672920184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,72.757
"",,ADMINISTRATIVO,
2019,03221318420184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,63.695
"",,ADMINISTRATIVO,
2019,03220997920184050000,REAJUSTE DE REMUNERACAO PROVENTOS OU PENSAO  SERVIDOR PUBLICO CIVIL,77.103
"",,ADMINISTRATIVO,
2019,03914602320174050000,LICENCAPREMIO  LICENCASAFASTAMENTOS  SERVIDOR PUBLICO CIVIL,261.719
"",,ADMINISTRATIVO,
2019,03761455220174050000,PLANO DE CLASSIFICACAO DE CARGOS  SISTEMA REMUNERATORIO E BENEFICIOS,74.371
"",,SERVIDOR  PUBLICO CIVIL  ADMINISTRATIVO,
2019,03619384820174050000,PLANO DE CLASSIFICACAO DE CARGOS  SISTEMA REMUNERATORIO E BENEFICIOS,88.652
"",,SERVIDOR  PUBLICO CIVIL  ADMINISTRATIVO,
2019,03619376320174050000,ADICIONAL DE PERICULOSIDADE  SISTEMA REMUNERATORIO E BENEFICIOS,182.562
"",,SERVIDOR  PUBLICO CIVIL  ADMINISTRATIVO,
